year,抽蓄水力,燃煤,燃油,燃氣,核能,再生能源
2000, 8.78   , 33.41   , 18.24   , 16.08   , 17.36   , 6.14   
2001, 8.63   , 32.85   , 15.39   , 20.01   , 17.07   , 6.05   
2002, 8.15   , 35.08   , 11.21   , 23.44   , 16.12   , 5.99   
2003, 7.82   , 33.64   , 10.70   , 26.65   , 15.45   , 5.74   
2004, 7.52   , 32.36   , 10.18   , 29.54   , 14.87   , 5.53   
2005, 7.20   , 32.52   , 9.99   , 30.71   , 14.24   , 5.34   
2006, 6.96   , 32.91   , 9.66   , 31.34   , 13.76   , 5.37   
2007, 6.83   , 31.24   , 9.48   , 33.42   , 13.51   , 5.52   
2008, 6.74   , 30.79   , 9.34   , 34.16   , 13.31   , 5.65   
2009, 6.47   , 29.56   , 8.97   , 36.49   , 12.78   , 5.73   
2010, 6.36   , 29.08   , 8.86   , 37.14   , 12.57   , 5.99   
2011, 6.28   , 28.74   , 8.03   , 36.72   , 12.42   , 7.80   
2012, 6.35   , 27.57   , 8.12   , 37.10   , 12.55   , 8.31   
2013, 6.32   , 27.43   , 8.08   , 36.95   , 12.49   , 8.73   
2014, 6.38   , 26.23   , 8.15   , 37.38   , 12.61   , 9.25   
2015, 6.34   , 26.07   , 8.10   , 37.15   , 12.54   , 9.80   
2016, 6.18   , 27.29   , 7.89   , 36.18   , 12.21   , 10.26   
2017, 6.21   , 29.36   , 6.14   , 34.58   , 12.28   , 11.43   
2018, 5.83   , 29.35   , 5.76   , 35.80   , 10.10   , 13.16   
2019, 5.45   , 30.76   , 5.38   , 35.34   , 8.10   , 14.97   
2020, 5.23   , 29.53   , 3.20   , 35.78   , 7.78   , 18.48   
,,,,,,